"Year","Stock","Counts","Mean","Lower95%","Median50%","Upper95%"
1995,"Canada","Escapement",69485.399834184,48200.7004349811,69703.6079205122,92051.4430122315
1996,"Canada","Escapement",76424.7612100513,56655.4554889365,74387.1987325705,108401.188277405
1997,"Canada","Escapement",83706.623611081,65214.6257668349,82840.4977500761,106309.183148551
1998,"Canada","Escapement",35519.756191226,25644.849068657,35295.357442271,48266.2344336554
1999,"Canada","Escapement",47001.6785658029,32906.8071698034,46272.9438086782,64177.4485076645
2000,"Canada","Escapement",21345.1498931995,14366.499506123,20989.8951015192,29581.0284660953
2001,"Canada","Escapement",68219.0398953279,45771.3359637057,67734.8470409751,94941.3315831131
2002,"Canada","Escapement",48542.3680568863,36308.6083505346,48340.8231451593,62499.4970060307
2003,"Canada","Escapement",94909.193707877,78530.1280506913,94837.3209230311,112576.669578833
2004,"Canada","Escapement",55432.812940009,44460.4726304303,54974.1466431671,67810.10175901
2005,"Canada","Escapement",69334.5752937574,63712.9554778145,69594.4591090223,73425.4903713204
2006,"Canada","Escapement",64261.3316570996,60491.3424190146,64397.6606422252,67274.8338988527
2007,"Canada","Escapement",36229.4346432158,33835.7843090637,36372.5530113127,38025.9855554405
2008,"Canada","Escapement",33885.365403794,31960.5971578597,33953.9556413153,35257.6774682579
2009,"Canada","Escapement",64971.2630128754,62725.189785947,65101.5622532414,66638.4195924019
2010,"Canada","Escapement",32249.5589917327,30978.6285828704,32305.9801491535,33219.722572577
2011,"Canada","Escapement",47007.9859977955,44442.3839508443,47137.4973780656,48765.0964115434
2012,"Canada","Escapement",32328.3665077468,31185.5353726462,32378.1545807771,33293.7056721297
2013,"Canada","Escapement",28487.9597517868,27425.7439079317,28533.6406489949,29202.9249509443
2014,"Canada","Escapement",63370.246753357,62592.1677703187,63372.1045043174,64161.4479504464
2015,"Canada","Escapement",82694.864397937,81555.9140777722,82679.5747146292,83741.4164881716
2016,"Canada","Escapement",69164.1975218028,67606.7054622686,69220.7497150925,70377.852408462
2017,"Canada","Escapement",69386.5103726418,67562.9817595405,69442.5225657074,70840.0930676126
2018,"Canada","Escapement",54594.703889695,53022.8676456838,54631.0391312796,55965.9269178303
