"BroodYear","S_lwr","S_med","S_upr","R_lwr","R_med","R_upr","CU","CU_f"
2004,7831.37,8903.1,10120.05,12093.7,13827.8,15541.3,"Pelly","Pelly"
2005,13970.89,15733.22,17741,15023.82,16626.09,18372.39,"Pelly","Pelly"
2006,11129.47,13184.03,15632.47,10317.61,11603.28,12994.92,"Pelly","Pelly"
2007,6631.3,7578.81,8696.76,6646.19,7525.13,8516.05,"Pelly","Pelly"
2008,3839.44,4175.94,4551.61,4659.45,5364.08,6125.53,"Pelly","Pelly"
2009,14894.2,15965.55,17066.67,11738.9,13065.75,14433.05,"Pelly","Pelly"
2010,6978.42,7841.81,8780.14,9710.89,11117.77,12655.65,"Pelly","Pelly"
2011,8071.93,8710.11,9405.56,16399.05,18030.78,19794.66,"Pelly","Pelly"
2012,5475.78,6325.14,7297.55,10918.44,12272.6,13758.19,"Pelly","Pelly"
2013,3284.83,3787.87,4358.39,8135.24,9178.23,10284.92,"Pelly","Pelly"
2014,6236.5,6774.29,7376.68,9561.38,10620.86,11754.25,"Pelly","Pelly"
2015,15492.64,16465.52,17491.4,7104.56,7914.21,8784.33,"Pelly","Pelly"
2016,12181.52,13324.95,14584.15,4121.94,4613.08,5126.86,"Pelly","Pelly"
2017,7703.61,8551.52,9462.05,1798.33,2074.83,2385.48,"Pelly","Pelly"
2018,6411.14,7286.35,8302.13,1789.41,2144.84,2603.52,"Pelly","Pelly"
2019,4492.8,4626.51,4767.52,1451.16,1986.87,2886.52,"Pelly","Pelly"
2020,5228.61,5694.58,6198.31,1533.65,2730.78,5006.68,"Pelly","Pelly"
2021,5455.1,5694.83,5949.65,NA,NA,NA,"Pelly","Pelly"
2022,2248.07,2309.62,2371.46,NA,NA,NA,"Pelly","Pelly"
2023,1545.03,1977.97,2511.06,NA,NA,NA,"Pelly","Pelly"
2024,1432.75,1703.06,2019.18,NA,NA,NA,"Pelly","Pelly"
1985,4789.84,5670.93,6695.35,5851.18,7244.22,8827.19,"Stewart","Stewart"
1986,5673.46,6853.67,8235.73,10896.56,12656.08,14596.96,"Stewart","Stewart"
1987,1816.68,2276.23,2856.25,4352.69,5376.84,6591,"Stewart","Stewart"
1988,1334.48,2340.51,4223.65,6051.41,7369.64,8898.32,"Stewart","Stewart"
1989,2060.18,3378.84,5382.07,16927.67,19561.49,22400.61,"Stewart","Stewart"
1990,1311.42,2724.06,6634.01,5121.12,6657.77,8509.01,"Stewart","Stewart"
1991,2786.88,3450.52,4224.6,18750.91,21608.96,24838.74,"Stewart","Stewart"
1992,2271.66,2985.38,3894.29,16180.56,19634.18,23572.88,"Stewart","Stewart"
1993,1177.93,1591.9,2137.21,14680.09,17792.36,21363.9,"Stewart","Stewart"
1994,2533.55,3098.02,3826.5,5139.15,6274,7646.57,"Stewart","Stewart"
