CU_ID,CU_Name,Species,Year,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,new spawn data,difference,Recruits_Wild,Recruits_Total,Abd_StartYr,UseYear,Group
CK-71,Nordenskiold,Chinook,1986,1584.998843,1584.998843,1584.998843,1584.998843,1138.112154,-28%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1987,463.7221075,463.7221075,463.7221075,463.7221075,571.6334483,23%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1988,564.0991898,564.0991898,564.0991898,564.0991898,1061.293267,88%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1989,329.7923859,329.7923859,329.7923859,329.7923859,608.210756,84%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1990,288.5870766,288.5870766,288.5870766,288.5870766,540.0619521,87%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1991,368.0524082,368.0524082,368.0524082,368.0524082,538.6600785,46%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1992,572.6602011,572.6602011,572.6602011,572.6602011,499.9729584,-13%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1993,918.316626,918.316626,918.316626,918.316626,1058.070335,15%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1994,2304.765931,2304.765931,2304.765931,2304.765931,2747.468349,19%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1995,5783.990446,5783.990446,5783.990446,5783.990446,4343.508009,-25%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1996,3380.718978,3380.718978,3380.718978,3380.718978,3760.847251,11%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1997,1158.226925,1158.226925,1158.226925,1158.226925,1131.083698,-2%,NA,NA,1985,TRUE,CK_Yukon
